"Date","Price","Open","High","Low","Vol.","Change %"
"11/07/2018","124.84","123.79","125.06","122.33","12.38M","1.40%"
"11/06/2018","123.12","120.70","123.81","120.31","9.60M","2.55%"
"11/05/2018","120.06","116.10","120.77","116.00","9.14M","3.80%"
"11/02/2018","115.67","117.51","117.75","114.54","10.59M","-0.99%"
"11/01/2018","116.83","115.50","117.00","115.11","13.63M","1.21%"
"10/31/2018","115.43","116.49","116.50","114.09","21.64M","0.03%"
"10/30/2018","115.40","120.48","121.50","115.15","21.46M","-3.54%"
"10/29/2018","119.64","119.34","123.95","118.30","20.45M","-4.13%"
"10/26/2018","124.79","125.21","125.78","123.71","8.77M","-1.31%"
"10/25/2018","126.45","127.25","127.79","125.14","10.30M","-0.60%"
"10/24/2018","127.21","131.17","131.69","127.00","5.71M","-3.05%"
"10/23/2018","131.21","129.02","131.90","128.41","6.46M","0.92%"
"10/22/2018","130.02","129.58","130.44","128.40","5.72M","0.71%"
"10/19/2018","129.10","130.65","131.89","127.96","7.79M","-1.11%"
"10/18/2018","130.55","132.73","133.40","130.04","10.01M","-2.61%"
"10/17/2018","134.05","135.89","137.15","133.42","19.46M","-7.63%"
"10/16/2018","145.12","142.93","145.45","141.58","8.70M","2.83%"
"10/15/2018","141.13","140.38","142.26","140.14","4.97M","0.20%"
"10/12/2018","140.85","141.12","141.54","139.08","6.56M","1.32%"
"10/11/2018","139.02","142.62","144.19","138.78","8.71M","-2.57%"
"10/10/2018","142.69","147.50","147.69","142.50","5.55M","-3.09%"
"10/09/2018","147.24","148.08","148.36","146.93","3.64M","-0.77%"
"10/08/2018","148.39","148.50","149.07","147.18","3.24M","-0.43%"
"10/05/2018","149.03","150.90","151.79","147.87","4.60M","-1.51%"
"10/04/2018","151.31","151.69","152.80","150.36","4.24M","-1.25%"
"10/03/2018","153.22","154.00","154.36","152.80","3.32M","-0.34%"
"10/02/2018","153.75","152.99","153.84","152.50","3.03M","0.49%"
"10/01/2018","153.00","151.71","153.42","151.71","3.76M","1.18%"
"09/28/2018","151.21","151.16","151.62","150.79","3.31M","-0.19%"
"09/27/2018","151.50","152.01","152.39","151.16","3.48M","-0.07%"
"09/26/2018","151.61","152.40","153.35","151.34","7.40M","1.81%"
"09/25/2018","148.91","149.91","150.41","148.36","4.40M","-0.75%"
"09/24/2018","150.03","151.10","151.20","149.46","4.26M","-0.87%"
"09/21/2018","151.35","151.48","152.60","150.74","19.95M","0.13%"
"09/20/2018","151.15","149.58","151.38","149.44","5.95M","1.40%"
"09/19/2018","149.06","148.63","149.96","148.23","4.25M","0.34%"
"09/18/2018","148.56","147.76","148.99","147.47","3.63M","0.42%"
"09/17/2018","147.94","148.44","149.07","147.77","3.55M","-0.26%"
"09/14/2018","148.33","148.85","149.30","147.78","3.45M","-0.42%"
"09/13/2018","148.95","147.35","149.00","147.12","5.35M","1.62%"
"09/12/2018","146.57","146.37","147.98","146.03","4.51M","0.05%"
"09/11/2018","146.49","146.00","146.99","145.25","3.37M","0.58%"
"09/10/2018","145.65","146.60","147.30","145.56","3.62M","0.14%"
"09/07/2018","145.45","145.94","146.50","145.12","4.69M","-0.64%"
"09/06/2018","146.39","146.88","147.66","145.54","4.25M","-0.18%"
"09/05/2018","146.66","145.19","146.75","145.05","3.13M","0.67%"
"09/04/2018","145.68","145.98","146.19","144.81","3.33M","-0.55%"
"08/31/2018","146.48","145.72","146.78","145.54","3.49M","0.38%"
"08/30/2018","145.93","147.03","147.30","145.25","3.34M","-1.09%"
"08/29/2018","147.54","146.87","147.93","146.60","3.15M","0.65%"
"08/28/2018","146.59","146.95","146.99","146.19","2.46M","-0.07%"
"08/27/2018","146.69","146.94","147.62","146.52","3.49M","0.45%"
"08/24/2018","146.04","145.46","146.09","144.87","2.78M","0.46%"
"08/23/2018","145.37","145.04","145.52","144.75","2.22M","0.09%"
"08/22/2018","145.24","146.01","146.16","145.19","2.39M","-0.50%"
"08/21/2018","145.97","147.00","147.12","145.89","3.11M","-0.37%"
"08/20/2018","146.51","146.37","147.16","146.15","2.50M","0.31%"
"08/17/2018","146.06","144.79","146.39","144.69","2.68M","0.50%"
"08/16/2018","145.34","144.37","145.68","144.37","5.25M","0.99%"
"08/15/2018","143.91","142.55","144.00","142.00","4.24M","0.38%"
"08/14/2018","143.36","143.00","143.82","142.93","2.86M","0.46%"
"08/13/2018","142.71","144.15","144.30","142.53","2.86M","-1.23%"
"08/10/2018","144.48","144.50","145.07","143.88","3.00M","-0.20%"
"08/09/2018","144.77","145.53","145.94","144.73","3.09M","-1.44%"
"08/08/2018","146.89","147.33","147.43","146.24","3.58M","-0.08%"
"08/07/2018","147.01","146.65","147.64","146.35","3.51M","0.67%"
"08/06/2018","146.03","146.95","147.20","145.57","3.91M","-1.13%"
"08/03/2018","147.70","143.24","147.92","143.00","8.05M","3.32%"
"08/02/2018","142.96","142.86","143.36","142.33","3.84M","-0.38%"
"08/01/2018","143.50","144.76","145.19","143.34","3.39M","-0.99%"
"07/31/2018","144.93","145.74","145.80","144.16","5.47M","-0.38%"
"07/30/2018","145.49","144.80","146.24","144.69","3.61M","0.23%"
"07/27/2018","145.15","146.89","147.14","144.66","3.75M","-1.06%"
"07/26/2018","146.71","147.43","149.27","146.63","4.78M","0.06%"
"07/25/2018","146.62","146.01","146.65","145.50","3.62M","0.16%"
"07/24/2018","146.38","146.70","147.04","145.92","3.89M","0.47%"
"07/23/2018","145.70","146.35","146.70","145.01","3.90M","-0.44%"
"07/20/2018","146.35","148.58","148.86","146.26","6.42M","-1.94%"
"07/19/2018","149.24","147.85","150.54","147.25","14.66M","3.27%"
"07/18/2018","144.52","143.51","144.80","142.74","6.94M","0.72%"
"07/17/2018","143.49","144.75","145.00","143.34","5.10M","-1.35%"
"07/16/2018","145.46","145.67","145.79","144.21","3.47M","-0.30%"
"07/13/2018","145.90","146.45","146.98","145.80","3.07M","-0.38%"
"07/12/2018","146.45","145.85","146.83","145.74","3.12M","1.04%"
"07/11/2018","144.94","144.00","146.19","144.00","3.53M","0.16%"
"07/10/2018","144.71","144.51","145.59","144.25","3.78M","0.22%"
"07/09/2018","144.39","142.59","144.72","142.47","3.90M","1.34%"
"07/06/2018","142.48","141.53","142.94","141.17","2.91M","0.74%"
"07/05/2018","141.43","140.48","141.43","139.93","3.74M","1.33%"
"07/03/2018","139.57","140.65","140.94","139.37","1.96M","-0.21%"
"07/02/2018","139.86","138.28","140.22","138.20","3.41M","0.11%"
"06/29/2018","139.70","140.32","141.36","139.61","3.75M","-0.24%"
"06/28/2018","140.04","138.10","140.54","137.94","4.52M","1.86%"
"06/27/2018","137.48","139.11","139.78","137.45","4.10M","-1.15%"
"06/26/2018","139.08","139.36","139.85","138.33","4.14M","0.21%"
"06/25/2018","138.79","140.40","140.40","138.28","8.94M","-1.76%"
"06/22/2018","141.28","141.64","141.81","140.78","6.01M","0.02%"
"06/21/2018","141.25","142.59","143.14","140.83","3.89M","-0.97%"
"06/20/2018","142.63","144.22","144.52","142.41","3.33M","-0.88%"
"06/19/2018","143.90","143.12","144.22","142.95","3.49M","-0.40%"
"06/18/2018","144.48","144.18","144.52","143.14","4.29M","-0.63%"
"06/15/2018","145.39","144.90","145.47","143.70","9.12M","0.13%"
"06/14/2018","145.20","146.65","146.98","145.09","3.33M","-0.79%"
"06/13/2018","146.35","146.79","147.47","146.20","2.97M","-0.35%"
"06/12/2018","146.87","147.10","147.52","146.62","2.64M","0.20%"
"06/11/2018","146.58","146.62","147.41","146.14","3.26M","0.30%"
"06/08/2018","146.14","145.00","146.43","144.37","5.21M","0.54%"
"06/07/2018","145.36","145.00","146.70","144.93","4.32M","0.45%"
"06/06/2018","144.71","144.34","144.72","143.54","3.22M","0.70%"
"06/05/2018","143.70","143.05","144.08","143.04","2.84M","0.46%"
"06/04/2018","143.04","142.30","143.17","142.18","3.04M","0.77%"
"06/01/2018","141.95","142.43","142.84","141.62","3.86M","0.45%"
"05/31/2018","141.31","142.81","142.81","141.05","6.83M","-0.92%"
"05/30/2018","142.62","141.90","143.10","141.82","5.12M","0.99%"
"05/29/2018","141.22","142.53","142.89","140.21","4.54M","-1.68%"
"05/25/2018","143.64","143.90","144.57","143.46","4.91M","-0.30%"
"05/24/2018","144.07","144.39","144.48","142.95","3.40M","-0.41%"
"05/23/2018","144.67","144.35","144.70","143.48","3.46M","-0.29%"
"05/22/2018","145.09","145.52","146.20","145.00","2.28M","-0.27%"
"05/21/2018","145.49","144.95","146.04","144.68","2.89M","0.98%"
"05/18/2018","144.08","144.47","144.94","143.99","2.68M","-0.29%"
"05/17/2018","144.50","144.50","145.19","143.77","3.15M","-0.09%"
"05/16/2018","144.63","143.70","145.03","143.27","3.17M","0.62%"
"05/15/2018","143.74","143.50","143.99","142.92","4.09M","-0.39%"
"05/14/2018","144.30","144.47","145.12","144.14","3.22M","0.11%"
"05/11/2018","144.14","144.11","144.85","143.58","3.07M","-0.07%"
"05/10/2018","144.24","143.15","144.33","143.01","3.73M","1.14%"
"05/09/2018","142.61","141.90","143.02","141.28","4.20M","-0.27%"
"05/08/2018","143.00","143.00","143.51","142.06","5.37M","-0.15%"
"05/07/2018","143.22","144.00","144.32","142.64","3.66M","-0.48%"
"05/04/2018","143.91","141.10","144.35","140.28","4.40M","1.35%"
"05/03/2018","141.99","142.13","142.23","139.90","5.02M","-0.32%"
"05/02/2018","142.45","144.46","144.82","142.07","5.19M","-1.76%"
"05/01/2018","145.00","144.65","145.02","143.47","4.43M","0.03%"
"04/30/2018","144.96","146.86","147.38","144.96","4.42M","-1.04%"
"04/27/2018","146.48","146.84","147.25","145.66","3.21M","-0.16%"
"04/26/2018","146.72","146.60","147.36","146.20","4.27M","0.53%"
"04/25/2018","145.94","145.79","146.40","144.11","7.33M","0.26%"
"04/24/2018","145.56","146.51","147.30","144.53","4.92M","-0.21%"
"04/23/2018","145.86","145.03","145.96","144.33","5.32M","0.66%"
"04/20/2018","144.90","147.90","147.97","144.51","8.27M","-1.90%"
"04/19/2018","147.70","149.19","149.21","146.62","8.09M","-0.73%"
"04/18/2018","148.79","152.14","152.63","148.26","20.38M","-7.53%"
"04/17/2018","160.91","158.82","162.00","158.51","10.21M","1.91%"
